,Country,Year,Annual Births per Country
7525,Japan,2019,926285
7526,Japan,2020,908919
7596,Jordan,2019,214710
7597,Jordan,2020,213830
7667,Kazakhstan,2019,376484
7668,Kazakhstan,2020,368121
7738,Kenya,2019,1490648
7739,Kenya,2020,1505629
7809,Kiribati,2019,3237
7810,Kiribati,2020,3233
7880,Kuwait,2019,55466
7881,Kuwait,2020,53768
7951,Kyrgyzstan,2019,152769
7952,Kyrgyzstan,2020,150543
8022,Land-locked Developing Countries (LLDC),2019,16090570
8023,Land-locked Developing Countries (LLDC),2020,16221258
8093,Laos,2019,165690
8094,Laos,2020,164753
8164,Latin America and the Caribbean,2019,10455807
8165,Latin America and the Caribbean,2020,10389202
8235,Latvia,2019,20145
8236,Latvia,2020,19658
8306,Least Developed Countries,2019,32165575
8307,Least Developed Countries,2020,32546667
8377,Lebanon,2019,116860
8378,Lebanon,2020,115701
8448,Lesotho,2019,56114
8449,Lesotho,2020,55669
8519,Less Developed Regions,2019,126837908
8520,Less Developed Regions,2020,126787534
8590,"Less Developed Regions, excluding China",2019,110009179
8591,"Less Developed Regions, excluding China",2020,110264283
8661,"Less Developed Regions, excluding Least Developed Countries",2019,94672333
8662,"Less Developed Regions, excluding Least Developed Countries",2020,94240867
8732,Liberia,2019,161726
8733,Liberia,2020,163984
8803,Libya,2019,123907
8804,Libya,2020,122062
8874,Lithuania,2019,28386
8875,Lithuania,2020,27758
8945,Low-income countries,2019,25667034
8946,Low-income countries,2020,26009123
9016,Lower-middle-income countries,2019,64927658
9017,Lower-middle-income countries,2020,64979339
9087,Luxembourg,2019,6449
9088,Luxembourg,2020,6496
9158,Macao,2019,6975
9159,Macao,2020,6961
9229,Madagascar,2019,875789
9230,Madagascar,2020,891753
9300,Malawi,2019,630471
9301,Malawi,2020,641608
9371,Malaysia,2019,530698
9372,Malaysia,2020,531804
9442,Maldives,2019,6987
9443,Maldives,2020,6835
9513,Mali,2019,808518
9514,Mali,2020,823027
9584,Malta,2019,4331
9585,Malta,2020,4341
9655,Martinique,2019,3633
9656,Martinique,2020,3589
9726,Mauritania,2019,150679
9727,Mauritania,2020,152868
9797,Mauritius,2019,12797
9798,Mauritius,2020,12722
9868,Mayotte,2019,7340
9869,Mayotte,2020,7410
9939,Melanesia,2019,288108
9940,Melanesia,2020,290311
10010,Mexico,2019,2206201
10011,Mexico,2020,2192160
10081,Micronesia (country),2019,2584
10082,Micronesia (country),2020,2601
10152,Middle Africa,2019,6845950
10153,Middle Africa,2020,6966774
10223,Middle-income countries,2019,100945550
10224,Middle-income countries,2020,100514190
10294,Moldova,2019,40119
10295,Moldova,2020,39360
10365,Mongolia,2019,75108
10366,Mongolia,2020,73755
10436,Montenegro,2019,7327
10437,Montenegro,2020,7275
10507,More Developed Regions,2019,13270144
10508,More Developed Regions,2020,13187769
10578,Morocco,2019,674504
10579,Morocco,2020,668010
10649,Mozambique,2019,1131066
10650,Mozambique,2020,1152670
10720,Myanmar,2019,941600
10721,Myanmar,2020,939304
10791,Namibia,2019,70238
10792,Namibia,2020,70276
10862,Nepal,2019,562730
10863,Nepal,2020,562119
10933,Netherlands,2019,172525
10934,Netherlands,2020,173080
11004,New Caledonia,2019,3953
11005,New Caledonia,2020,3938
11075,New Zealand,2019,59646
11076,New Zealand,2020,59671
11146,Nicaragua,2019,132276
11147,Nicaragua,2020,131048
11217,Niger,2019,1067314
11218,Niger,2020,1098096
11288,Nigeria,2019,7534528
11289,Nigeria,2020,7639486
11359,No income group available,2019,48611
11360,No income group available,2020,48647
11430,North Korea,2019,355317
11431,North Korea,2020,355194
11501,North Macedonia,2019,22179
11502,North Macedonia,2020,21827
11572,Northern Africa,2019,5963419
11573,Northern Africa,2020,5938798
11643,Northern Africa and Western Asia,2019,11488323
11644,Northern Africa and Western Asia,2020,11452333
11714,Northern America,2019,4320233
11715,Northern America,2020,4345680
11785,Northern Europe,2019,1193561
11786,Northern Europe,2020,1190717
11856,Norway,2019,59529
11857,Norway,2020,60032
11927,Oceania,2019,690709
11928,Oceania,2020,692695
11998,Oceania (excluding Australia and New Zealand),2019,312419
11999,Oceania (excluding Australia and New Zealand),2020,314546
12069,Oman,2019,90937
12070,Oman,2020,89906
12140,Pakistan,2019,6029320
12141,Pakistan,2020,6045567
12211,Palestine,2019,143324
12212,Palestine,2020,144176
12282,Panama,2019,79400
12283,Panama,2020,79571
12353,Papua New Guinea,2019,235345
12354,Papua New Guinea,2020,237474
12424,Paraguay,2019,143304
12425,Paraguay,2020,143305
12495,Peru,2019,574662
12496,Peru,2020,574987
12566,Philippines,2019,2182014
12567,Philippines,2020,2182501
12637,Poland,2019,367009
12638,Poland,2020,361779
12708,Portugal,2019,79161
12709,Portugal,2020,78491
12779,Puerto Rico,2019,20850
12780,Puerto Rico,2020,19718
12850,Qatar,2019,26604
12851,Qatar,2020,26670
12921,Reunion,2019,12961
12922,Reunion,2020,12873
12992,Romania,2019,186678
12993,Romania,2020,183956
13063,Russia,2019,1806235
13064,Russia,2020,1765743
13134,Rwanda,2019,394616
13135,Rwanda,2020,397657
13205,Saint Lucia,2019,2164
13206,Saint Lucia,2020,2139
13276,Saint Vincent and the Grenadines,2019,1557
13277,Saint Vincent and the Grenadines,2020,1545
13347,Samoa,2019,4774
13348,Samoa,2020,4761
13418,Sao Tome and Principe,2019,6710
13419,Sao Tome and Principe,2020,6764
13489,Saudi Arabia,2019,591914
13490,Saudi Arabia,2020,585170
13560,Senegal,2019,553786
13561,Senegal,2020,560077
13631,Serbia,2019,82276
13632,Serbia,2020,81208
13702,Seychelles,2019,1588
13703,Seychelles,2020,1565
13773,Sierra Leone,2019,257146
13774,Sierra Leone,2020,258281
13844,Singapore,2019,50096
13845,Singapore,2020,49976
13915,Slovakia,2019,56262
13916,Slovakia,2020,55643
13986,Slovenia,2019,19711
13987,Slovenia,2020,19361
14057,Small Island Developing States (SIDS),2019,1295160
14058,Small Island Developing States (SIDS),2020,1291180
14128,Solomon Islands,2019,21395
14129,Solomon Islands,2020,21589
14199,Somalia,2019,644285
14200,Somalia,2020,660094
14270,South Africa,2019,1177806
14271,South Africa,2020,1172060
14341,South America,2019,6503362
14342,South America,2020,6458002
14412,South Eastern Asia,2019,11369961
14413,South Eastern Asia,2020,11307240
14483,South Korea,2019,366900
14484,South Korea,2020,358793
14554,South Sudan,2019,388144
14555,South Sudan,2020,389714
14625,Southern Africa,2019,1389641
14626,Southern Africa,2020,1382938
14696,Southern Asia,2019,36708717
14697,Southern Asia,2020,36630245
14767,Southern Europe,2019,1224109
14768,Southern Europe,2020,1202058
14838,Spain,2019,386793
14839,Spain,2020,380395
14909,Sri Lanka,2019,331249
14910,Sri Lanka,2020,326419
14980,Sub-Saharan Africa,2019,37243079
14981,Sub-Saharan Africa,2020,37774541
15051,Sudan,2019,1364897
15052,Sudan,2020,1383196
15122,Suriname,2019,10633
15123,Suriname,2020,10587
15193,Sweden,2019,119202
15194,Sweden,2020,119651
15264,Switzerland,2019,88212
15265,Switzerland,2020,88511
15335,Syria,2019,421622
15336,Syria,2020,420602
15406,Taiwan,2019,200008
15407,Taiwan,2020,200005
15477,Tajikistan,2019,279320
15478,Tajikistan,2020,277919
15548,Tanzania,2019,2111498
15549,Tanzania,2020,2153054
15619,Thailand,2019,707398
15620,Thailand,2020,696526
15690,Timor,2019,37899
15691,Timor,2020,38264
15761,Togo,2019,264686
15762,Togo,2020,268061
15832,Tonga,2019,2508
15833,Tonga,2020,2502
15903,Trinidad and Tobago,2019,17522
15904,Trinidad and Tobago,2020,17103
15974,Tunisia,2019,199553
15975,Tunisia,2020,195883
16045,Turkey,2019,1308105
16046,Turkey,2020,1300918
16116,Turkmenistan,2019,136816
16117,Turkmenistan,2020,134624
16187,Uganda,2019,1648528
16188,Uganda,2020,1669841
16258,Ukraine,2019,407952
16259,Ukraine,2020,395731
16329,United Arab Emirates,2019,100073
16330,United Arab Emirates,2020,100021
16400,United Kingdom,2019,772640
16401,United Kingdom,2020,771427
16471,United States,2019,3932450
16472,United States,2020,3957544
16542,United States Virgin Islands,2019,1199
16543,United States Virgin Islands,2020,1181
16613,Upper-middle-income countries,2019,36017892
16614,Upper-middle-income countries,2020,35534851
16684,Uruguay,2019,47548
16685,Uruguay,2020,47274
16755,Uzbekistan,2019,688159
16756,Uzbekistan,2020,677227
16826,Vanuatu,2019,8750
16827,Vanuatu,2020,8838
16897,Venezuela,2019,515171
16898,Venezuela,2020,508883
16968,Vietnam,2019,1584848
16969,Vietnam,2020,1566556
17039,Western Africa,2019,14406866
17040,Western Africa,2020,14623083
17110,Western Asia,2019,5524904
17111,Western Asia,2020,5513535
17181,Western Sahara,2019,11535
17182,Western Sahara,2020,11598
17252,World,2019,140108052
17253,World,2020,139975303
17323,Yemen,2019,871528
17324,Yemen,2020,874561
17394,Zambia,2019,640635
17395,Zambia,2020,653578
17465,Zimbabwe,2019,436189
17466,Zimbabwe,2020,431769
